|      designation|        ra|       dec|r_k20fe|j_m_k20fe|j_msig_k20fe|j_flg_k20fe|h_m_k20fe|h_msig_k20fe|h_flg_k20fe|k_m_k20fe|k_msig_k20fe|k_flg_k20fe| k_ba|k_phi|sup_ba|sup_phi|  r_ext|j_m_ext|j_msig_ext|h_m_ext|h_msig_ext|k_m_ext|k_msig_ext|cc_flg|
|             char|    double|    double| double|   double|      double|        int|   double|      double|        int|   double|      double|        int|doubl|  int|double|    int| double| double|    double| double|    double| double|    double|  char|
|                 |       deg|       deg| arcsec|      mag|         mag|           |      mag|         mag|           |      mag|         mag|           |     |  deg|      |    deg| arcsec|    mag|       mag|    mag|       mag|    mag|       mag|      |
04351185+2457104    68.799377  24.952902     5.0    15.251        0.108           4      null         null        null    14.277        0.169           0 1.000    90  1.000      90   10.05  14.951      0.147  17.432       null  13.927      0.236 0      
04355120+2456440    68.963341  24.945572    10.1    14.960        0.095           3    13.912        0.091           3    13.561        0.100           0 0.388   -60  0.460     -65   19.75  14.798      0.155  13.638      0.131  13.350      0.152 0      
04350836+2512174    68.784874  25.204842    11.4    14.103        0.087           2    12.982        0.089           2    12.608        0.098           2 0.740    45  0.400      60   21.55  13.987      0.128  12.206      0.067  12.371      0.111 0      
04350752+2512086    68.781357  25.202391    37.7    12.302        0.040           0    11.233        0.047           0    10.739        0.048           0 0.220    55  0.240      55   55.48  12.184      0.044  11.091      0.046  10.626      0.042 0      
04350361+2511026    68.765083  25.184063    21.6    13.002        0.050           3    12.208        0.068           3    11.825        0.078           3 0.360    50  0.340      50   47.86  12.567      0.058  11.720      0.070  11.457      0.080 0      
04354566+2507440    68.940285  25.128899     6.4    15.326        0.104           0    14.464        0.119           0    13.947        0.112           0 0.600    15  0.600      15    9.61  15.055      0.142  14.464      0.119  13.718      0.161 0      
04294816+2514495    67.450684  25.247095     5.3    14.924        0.063           0    14.344        0.098           0    13.989        0.106           0 0.660   -75  1.000      90   11.91  14.788      0.102  14.138      0.156  13.701      0.154 0      
04311196+2514554    67.799873  25.248728     5.0    14.770        0.065           0    14.207        0.094           0    13.933        0.115           0 1.000    90  1.000      90   12.00  14.467      0.087  14.207      0.094  13.933      0.115 0      
04294482+2509015    67.436790  25.150438     9.7    13.514        0.044           0    12.662        0.057           0    12.277        0.066           0 0.780     0  0.880      10   18.17  13.333      0.054  12.593      0.074  12.162      0.074 0      
04310061+2514514    67.752579  25.247620     5.0    14.922        0.073           0    14.197        0.093           0    13.975        0.119           0 1.000    90  1.000      90   10.05  14.858      0.125  14.091      0.157  13.685      0.169 0      
04311160+2524174    67.798370  25.404840     5.0      null         null        null      null         null        null    14.096        0.133           0 1.000    90  1.000      90   10.05  16.491      0.421  14.849      0.237  13.926      0.214 0      
04310732+2524104    67.780533  25.402897    12.8    13.274        0.047           0    12.389        0.056           0    11.940        0.066           0 0.740    80  0.820      55   37.79  13.090      0.093  12.292      0.114  11.544      0.090 0      
04300483+2512438    67.520149  25.212170     9.8    15.161        0.126           0    14.540        0.187           0    13.874        0.156           2 0.527    15  0.580       0   19.06  14.827      0.181  14.281      0.281  13.542      0.213 0      
04303117+2503221    67.629906  25.056154     6.3      null         null        null      null         null        null    13.935        0.145           0 1.000    90  1.000      90   11.40  15.928      0.251  15.159      0.318  13.514      0.183 0      
04295119+2518327    67.463318  25.309109     6.4    14.596        0.063           0    13.789        0.074           0    13.603        0.094           0 0.740   -35  0.700     -45   12.25  14.268      0.078  13.674      0.120  13.238      0.122 0      
04292590+2513296    67.357933  25.224911     5.4    15.449        0.126           0    14.684        0.169           0    14.335        0.183           0 1.000    90  1.000      90   10.44  15.344      0.210  14.352      0.226  13.969      0.239 0      
04291403+2513098    67.308487  25.219393     5.0    15.373        0.105           0    14.397        0.114           0    13.850        0.106           0 1.000    90  1.000      90   10.05  15.276      0.177  14.397      0.114  13.676      0.166 0      
04292339+2458436    67.347488  24.978802     7.3    15.332        0.109           0    14.340        0.118           0    13.818        0.110           0 0.520   -20  0.500     -20   15.49  15.054      0.156  14.094      0.184  13.726      0.195 0      
04314182+2535253    67.924255  25.590374     5.1    15.510        0.125           0    14.619        0.144           0    13.827        0.106           0 1.000    90  1.000      90   10.20  15.370      0.204  14.371      0.209  13.740      0.183 0      
04314315+2535083    67.929794  25.585651     5.0    15.723        0.149           1    14.673        0.149           1    14.250        0.153           1 1.000    90  1.000      90   10.05  15.420      0.207  14.593      0.254  14.067      0.238 0      
04354789+2407280    68.949547  24.124458     5.0      null         null        null      null         null        null    14.142        0.137           0 1.000    90  1.000      90   10.05  16.790      0.571  14.915      0.259  13.880      0.203 0      
